corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc-coref,x4vf.0,"den-mit-dem-wahren-Tag-vertrauten-Richter,-der,-was-jener-aus-Nacht-und-Finsterniß-herauf-fördert",40,
gdc-coref,x4vf.0,ein-Stück-Geld,23,
gdc-coref,x4vf.0,die-Huldigung,33,
gdc-coref,x4vf.0,"eine-Mahlzeit,-die-mein-Fleiß-erwirbt",43,
gdc-coref,x4vf.0,"Der-Zustand,-in-dem-Sie-mich-sehen",34,
gdc-coref,x4vf.0,eine-Weiberstimme,27,
gdc-coref,x4vf.0,Hoffnung,47,
gdc-coref,x4vf.0,das-Haupt,20,
gdc-coref,x4vf.0,Ihre-Seele,29,
gdc-coref,x4vf.0,der-Kirche,24,
gdc-coref,x4vf.0,ihr-Brautkranz,21,
gdc-coref,x4vf.0,diese-Heirath,50,
gdc-coref,x4vf.0,einen(Blumenstraus),18,
gdc-coref,x4vf.0,"einer-Waffe,-die",41,
gdc-coref,x4vf.0,"das-Manuseript,-welches-Sie-mir-diesen-Morgen-brachten",31,
gdc-coref,x4vf.0,Vorige,26,
gdc-coref,x4vf.0,Die-Leute,16,
gdc-coref,x4vf.0,den-Blumen,19,
gdc-coref,x4vf.0,sie,17,
gdc-coref,x4vf.0,ewiger-Nacht,44,
gdc-coref,x4vf.0,"der,-dem-die-Gegenstände-nach-und-nach-verschwinden",39,
gdc-coref,x4vf.0,die-Thüre,22,
gdc-coref,x4vf.0,der-überlegene--Mann,28,
gdc-coref,x4vf.0,Bürgermeister,51,
gdc-coref,x4vf.0,einen-Freund,37,
gdc-coref,x4vf.0,Ihr-Arzt,45,
gdc-coref,x4vf.0,die-Welt,38,
gdc-coref,x4vf.0,Die-Bilder-Ihrer-Einbildungskraft,32,
gdc-coref,x4vf.0,"einer-Münze,-deren-sich-noch-keine-Schriftstellerin-rühmen-konnte",54,
gdc-coref,x4vf.0,august+albertine,57,"14,12"
gdc-coref,x4vf.0,die-Wunder,49,
gdc-coref,x4vf.0,diese-Augen,46,
gdc-coref,x4vf.0,gehrmann-und-madame_wölbing,53,
gdc-coref,x4vf.0,dieser-Engel-des-Himmels,48,
gdc-coref,x4vf.0,august,14,
gdc-coref,x4vf.0,Die-Amtsräthin,15,
gdc-coref,x4vf.0,Bürgermeister+gehrmann,56,"51,0"
gdc-coref,x4vf.0,eine-Verführerin,52,
gdc-coref,x4vf.0,diesem-Gefühle-der-Hingebung,42,
gdc-coref,x4vf.0,"Jedem,-der-sich-Ihnen-nähert",35,
gdc-coref,x4vf.0,den-lieben-Gott,25,
gdc-coref,x4vf.0,es-sey-Licht,55,
gdc-coref,x4vf.0,das-Herz,30,
gdc-coref,x4vf.0,den-Eindruck,36,
gdc-coref,x4vf.0,gehrmann,0,
gdc-coref,x4vf.0,emerike,1,
gdc-coref,x4vf.0,kunigunde,2,
gdc-coref,x4vf.0,flint,3,
gdc-coref,x4vf.0,madame_wölbing,4,
gdc-coref,x4vf.0,walter,5,
gdc-coref,x4vf.0,christine,6,
gdc-coref,x4vf.0,erster_diener,7,
gdc-coref,x4vf.0,jüngling,8,
gdc-coref,x4vf.0,giebel,9,
gdc-coref,x4vf.0,bedienter,10,
gdc-coref,x4vf.0,diener,11,
gdc-coref,x4vf.0,albertine,12,
gdc-coref,x4vf.0,annchen,13,
